-1,0,15,30,45,60,75,90,105,120,135,150,165,180
-1,0,15,30,45,60,75,90,105,120,135,150,165,180
2,-1,-1,-1,-1,20.68641031,6.757173942,3.568041031,6.234912225,21.05344728,-1,-1,-1,-1
2.05,-1,-1,-1,-1,19.23551956,6.140656273,3.162352264,5.598479505,19.31856632,-1,-1,-1,-1
2.1,-1,-1,-1,-1,17.82596788,5.567485684,2.793286081,5.012182158,17.67531065,-1,-1,-1,-1
2.15,-1,-1,-1,-1,16.46519983,5.036192243,2.458450982,4.473517785,16.12633889,-1,-1,-1,-1
2.2,-1,-1,-1,-1,15.15786102,4.545137256,2.155481654,3.979925891,14.67294564,-1,-1,-1,-1
2.25,-1,-1,-1,-1,13.91394426,4.092553212,1.882069166,3.528840234,13.3151693,-1,-1,-1,-1
2.3,-1,-1,-1,-1,12.74061881,3.676573717,1.635981746,3.117722804,12.05188893,-1,-1,-1,-1
2.35,-1,-1,-1,-1,11.63994779,3.295280751,1.415080366,2.744071009,10.88097788,-1,-1,-1,-1
2.4,-1,-1,-1,-1,10.61175188,2.946722162,1.217332469,2.405417201,9.799482477,-1,-1,-1,-1
2.45,-1,-1,-1,-1,9.654627211,2.628907582,1.040815971,2.099336563,8.804089127,-1,-1,-1,-1
2.5,-1,-1,-1,-1,8.766298557,2.339821248,0.883710201,1.823479501,7.89009625,-1,-1,-1,-1
2.55,-1,-1,-1,-1,7.944267443,2.077440846,0.744281332,1.57560536,7.053500195,-1,-1,-1,-1
2.6,-1,-1,-1,-1,7.18558893,1.839764612,0.620882167,1.353589703,6.289737145,-1,-1,-1,-1
2.65,-1,-1,-1,-1,6.48706717,1.624852965,0.511972312,1.155402114,5.594186013,-1,-1,-1,-1
2.7,-1,-1,-1,-1,5.845394587,1.430868497,0.416144606,0.979076171,4.962257312,-1,-1,-1,-1
2.75,-1,-1,-1,-1,5.257254825,1.256101199,0.332134791,0.822696027,4.389423494,-1,-1,-1,-1
2.8,-1,-1,-1,-1,4.719374921,1.098970816,0.258803565,0.684360533,3.87124211,-1,-1,-1,-1
2.85,-1,-1,-1,-1,4.228527037,0.958027289,0.195098702,0.562461504,3.403434104,-1,-1,-1,-1
2.9,-1,-1,-1,-1,3.781534861,0.831876959,0.140022473,0.455296565,2.981948688,-1,-1,-1,-1
2.95,-1,-1,-1,-1,3.375289068,0.719190292,0.092629903,0.361395079,2.603000089,-1,-1,-1,-1
3,-1,-1,43.38804254,12.09215374,3.006779747,0.618720429,0.052048272,0.279412144,2.263071057,11.47916791,49.00499929,-1,-1
3.05,-1,-1,38.93039374,10.83604643,2.673127878,0.529301465,0.017496709,0.208123536,1.958896759,10.13832696,43.31588907,-1,-1
3.1,-1,-1,34.2420383,9.694457148,2.371594366,0.449864907,-0.011711297,0.146405236,1.687420512,8.936055309,38.18279982,-1,-1
3.15,-1,-1,30.33100151,8.659392888,2.099589451,0.37944818,-0.036187859,0.093219583,1.445743608,7.860188225,33.58981006,-1,-1
3.2,-1,-1,26.99943329,7.722740378,1.854661838,0.317189512,-0.056525507,0.047610701,1.231151371,6.899154736,29.49345546,-1,-1
3.25,-1,-1,24.0422852,6.876645482,1.634493142,0.262312284,-0.073151815,0.008688147,1.041138396,6.042040404,25.85001199,-1,-1
3.3,-1,-1,21.36743521,6.113607911,1.436913388,0.214096959,-0.086641651,-0.024353998,0.87338407,5.278730148,22.61760665,-1,-1
3.35,-1,-1,18.95475037,5.426553861,1.2599084,0.17186145,-0.097423857,-0.052191016,0.725748627,4.599944982,19.75660618,-1,-1
3.4,-1,-1,16.78833785,4.808881704,1.10160951,0.134968411,-0.105879333,-0.075400336,0.59622855,3.997224236,17.22978743,-1,-1
3.45,-1,-1,14.84994397,4.254468074,0.960286935,0.102839286,-0.112351517,-0.094534451,0.482933652,3.462846895,15.00252098,-1,-1
3.5,-1,-1,13.12017645,3.757617725,0.83434209,0.074968209,-0.117137887,-0.110141531,0.38415045,2.989774043,13.04287859,-1,-1
3.55,-1,-1,11.57931114,3.31302271,0.722291726,0.050918867,-0.12048516,-0.122714092,0.298320248,2.57164991,11.32156019,-1,-1
3.6,-1,-1,10.20836775,2.915768393,0.62276581,0.030306768,-0.122610652,-0.132634404,0.224009902,2.202721889,9.81173254,-1,-1
3.65,-1,-1,8.98971974,2.561342589,0.534520476,0.012779972,-0.123712183,-0.140207188,0.15993108,1.877814913,8.489020475,-1,-1
3.7,-1,-1,7.907344594,2.245620816,0.456437742,-0.002004771,-0.123963161,-0.145724285,0.104929597,1.592252968,7.33140466,-1,-1
3.75,-1,-1,6.94683769,1.964820645,0.387512298,-0.014393115,-0.123520746,-0.149490557,0.057952432,1.341842867,6.319095581,-1,-1
3.8,-1,-1,6.095234091,1.715458279,0.326831048,-0.02472425,-0.122530589,-0.151777317,0.018044003,1.122808779,5.434411995,-1,-1
3.85,-1,-1,5.340872022,1.494336688,0.273552706,-0.033305433,-0.121114803,-0.152798995,-0.015636744,0.931704283,4.661700619,-1,-1
3.9,-1,-1,4.673296476,1.298547919,0.226892645,-0.040399436,-0.119359684,-0.152763167,-0.043830146,0.765385107,3.987239854,-1,-1
3.95,-1,-1,4.08314691,1.12545905,0.186124992,-0.046221903,-0.117324937,-0.151867752,-0.067189512,0.621015656,3.398999683,-1,-1
4,11.78444806,8.535916494,3.562009668,0.972678487,0.150597574,-0.050942945,-0.1150538,-0.150274391,-0.086314617,0.496077911,2.886455651,8.274871592,12.08323083
4.05,10.22366208,7.426339886,3.10231057,0.838018624,0.119743459,-0.054701869,-0.11258292,-0.148101457,-0.101771222,0.388338238,2.4403802,7.059137347,10.30210756
4.1,8.866288124,6.455235158,2.697247242,0.719478,0.093077254,-0.05761617,-0.109941926,-0.145432174,-0.114080851,0.295783111,2.052687979,6.009834767,8.771182811
4.15,7.684939657,5.605438185,2.340732611,0.615245752,0.070177689,-0.059791491,-0.107143943,-0.142340545,-0.123711189,0.216591517,1.716297675,5.104173158,7.455502204
4.2,6.65631215,4.861996657,2.0273358,0.523710796,0.050659658,-0.061329122,-0.104216002,-0.138902089,-0.131066323,0.149127807,1.424985972,4.322518973,6.324783461
4.25,5.76044168,4.211849624,1.752207744,0.443458669,0.03414502,-0.062334103,-0.101219832,-0.135183676,-0.136477204,0.091910929,1.173292016,3.648067183,5.352897149
4.3,4.980141696,3.643601602,1.510981862,0.373252409,0.020246793,-0.062903488,-0.098210175,-0.131254102,-0.140211171,0.043587023,0.956383126,3.066419186,4.517440169
4.35,4.300603033,3.1472592,1.299708733,0.312000139,0.008579273,-0.063109187,-0.095212488,-0.127178942,-0.142493975,0.002973907,0.769945877,2.565188347,3.79929059
4.4,3.709041721,2.713994522,1.114851578,0.258719252,-0.00121277,-0.063019531,-0.092251675,-0.123039374,-0.143509639,-0.030927397,0.610149841,2.133720866,3.182159497
4.45,3.194324176,2.336093047,0.953282938,0.212511348,-0.009423319,-0.06270852,-0.089340201,-0.118923292,-0.143431808,-0.058980727,0.473612717,1.762840639,2.65217163
4.5,2.746708014,2.006860643,0.812250881,0.172555641,-0.016272772,-0.062220171,-0.086466432,-0.114883678,-0.142446141,-0.081941582,0.357346888,1.444594996,2.197474972
