-1,0,15,30,45,60,75,90,105,120,135,150,165,180
-1,0,15,30,45,60,75,90,105,120,135,150,165,180
3,-1,-1,43.20740086,12.6979575,3.575415482,0.864656129,0.137384154,0.232199244,1.901726233,9.916969929,42.69750355,-1,-1
3.05,-1,-1,38.19663388,11.41645067,3.195310998,0.750698628,0.097528529,0.169063249,1.628394352,8.70335714,37.35058837,-1,-1
3.1,-1,-1,33.83534534,10.25163402,2.849436616,0.648929113,0.063450557,0.115265204,1.386624834,7.620378088,32.62898134,-1,-1
3.15,-1,-1,30.0145812,9.194579455,2.535324914,0.558266872,0.034406643,0.069714229,1.173354363,6.655847657,28.47115268,-1,-1
3.2,-1,-1,26.63277944,8.236729883,2.250713692,0.477704834,0.009811096,0.031413025,0.985775144,5.79842472,24.81464069,-1,-1
3.25,-1,-1,23.62320443,7.369628913,1.993432403,0.40629524,-0.010822224,-0.000557475,0.821325258,5.037630234,21.60195119,-1,-1
3.3,-1,-1,20.94649152,6.585219626,1.761309766,0.343155389,-0.027940064,-0.027027728,0.677672196,4.363834778,18.78139496,-1,-1
3.35,-1,-1,18.57165368,5.876110834,1.552212954,0.287489096,-0.041983451,-0.048727796,0.552679132,3.768210021,16.30692911,-1,-1
3.4,-1,-1,16.46420455,5.23558768,1.364160648,0.238590809,-0.053395161,-0.06630285,0.444360391,3.242701929,14.13773885,-1,-1
3.45,-1,-1,14.59299253,4.657606631,1.195382267,0.195828069,-0.062591492,-0.080321272,0.350868852,2.77999019,12.23771693,-1,-1
3.5,-1,-1,12.93097816,4.136741172,1.044309757,0.158619121,-0.069922103,-0.091301945,0.27051922,2.373415046,10.57492371,-1,-1
3.55,-1,-1,11.4540261,3.667950541,0.909496914,0.126400154,-0.075652456,-0.099728444,0.201791771,2.016927668,9.121090018,-1,-1
3.6,-1,-1,10.14032757,3.246344782,0.789539839,0.098595562,-0.079979136,-0.106036612,0.143304578,1.705053077,7.851130859,-1,-1
3.65,-1,-1,8.971048482,2.867344656,0.683059945,0.074645461,-0.08306241,-0.110596317,0.093794959,1.432852544,6.74284395,-1,-1
