-1,0,15,30,45,60,75,90,105,120,135,150,165,180
-1,0,15,30,45,60,75,90,105,120,135,150,165,180
2,-1,-1,-1,-1,21.13698124,7.174932386,3.7589593,6.230944494,20.41452642,-1,-1,-1,-1
2.05,-1,-1,-1,-1,19.69514739,6.533170327,3.330622678,5.575833331,18.68770071,-1,-1,-1,-1
2.1,-1,-1,-1,-1,18.27161137,5.935728912,2.940429014,4.972689866,17.05939572,-1,-1,-1,-1
2.15,-1,-1,-1,-1,16.87448958,5.381268549,2.586165822,4.419113126,15.53025161,-1,-1,-1,-1
2.2,-1,-1,-1,-1,15.53455099,4.868152334,2.26558302,3.912650787,14.09975561,-1,-1,-1,-1
2.25,-1,-1,-1,-1,14.2619808,4.394547785,1.976422321,3.450815397,12.76644058,-1,-1,-1,-1
2.3,-1,-1,-1,-1,13.06338097,3.958520366,1.716448616,3.031079078,11.52804212,-1,-1,-1,-1
2.35,-1,-1,-1,-1,11.94082224,3.558079406,1.483470211,2.650872392,10.3816284,-1,-1,-1,-1
2.4,-1,-1,-1,-1,10.8937617,3.191190482,1.275356607,2.307610914,9.323737746,-1,-1,-1,-1
2.45,-1,-1,-1,-1,9.920298947,2.855797909,1.090060887,1.998738176,8.350517956,-1,-1,-1,-1
2.5,-1,-1,-1,-1,9.017779528,2.549854092,0.925637693,1.721758816,7.457844291,-1,-1,-1,-1
2.55,-1,-1,-1,-1,8.183088766,2.271342707,0.780243317,1.4742554,6.641416751,-1,-1,-1,-1
2.6,-1,-1,-1,-1,7.412837289,2.018293604,0.652124203,1.253900846,5.896839833,-1,-1,-1,-1
2.65,-1,-1,-1,-1,6.7035071,1.788804299,0.539612367,1.058468549,5.219683651,-1,-1,-1,-1
2.7,-1,-1,-1,-1,6.051551318,1.581061316,0.441137979,0.885830459,4.605534685,-1,-1,-1,-1
2.75,-1,-1,-1,-1,5.453436246,1.393357159,0.355252369,0.733944161,4.050052261,-1,-1,-1,-1
2.8,-1,-1,-1,-1,4.905683855,1.224103334,0.280641689,0.600846882,3.549025852,-1,-1,-1,-1
2.85,-1,-1,-1,-1,4.404921188,1.071827003,0.216118386,0.484670862,3.098406461,-1,-1,-1,-1
2.9,-1,-1,-1,-1,3.947919623,0.935141847,0.160593984,0.383673311,2.694304247,-1,-1,-1,-1
2.95,-1,-1,-1,-1,3.531596718,0.81271674,0.113055294,0.296260788,2.332974522,-1,-1,-1,-1
3,-1,-1,39.73047169,11.76010194,3.153003103,0.703276076,0.072558049,0.220992836,2.010821055,10.32404867,43.07902942,-1,-1
3.05,-1,-1,35.45708412,10.55311898,2.809321422,0.605630002,0.038236451,0.156563782,1.724419125,9.090633627,37.84263056,-1,-1
3.1,-1,-1,31.49103654,9.456874879,2.497873005,0.518700745,0.009317951,0.10177528,1.470545759,7.984855775,33.19567132,-1,-1
3.15,-1,-1,27.94865068,8.462963188,2.21612839,0.441521455,-0.014873057,0.055513597,1.246201617,6.995409753,29.08347193,-1,-1
3.2,-1,-1,24.91375605,7.563183399,1.961715421,0.373210038,-0.034930159,0.016739285,1.048612527,6.111757552,25.45036189,-1,-1
